DATETIME,FPN,BOA,Difference
2021-03-31T00:00:00,210.5,212.356,1.856
2021-03-31T00:30:00,211.18,212.792,1.612
2021-03-31T01:00:00,211.88,216.082,4.202
2021-03-31T01:30:00,213.7,218.778,5.078
2021-03-31T02:00:00,217.0,222.112,5.112
2021-03-31T02:30:00,216.0,220.346,4.346
2021-03-31T03:00:00,214.44,218.91,4.47
2021-03-31T03:30:00,216.48,220.552,4.072
2021-03-31T04:00:00,226.88,229.432,2.552
2021-03-31T04:30:00,232.26,233.034,0.774
2021-03-31T05:00:00,245.56,245.49400000000003,-0.066
2021-03-31T05:30:00,255.14,254.748,-0.392
2021-03-31T06:00:00,263.14,262.92400000000004,-0.216
2021-03-31T06:30:00,257.16,255.364,-1.796
2021-03-31T07:00:00,259.18,259.506,0.326
2021-03-31T07:30:00,257.22,258.64,1.42
2021-03-31T08:00:00,258.8,260.654,1.854
2021-03-31T08:30:00,260.8,266.814,6.013999999999999
2021-03-31T09:00:00,261.12,267.172,6.0520000000000005
2021-03-31T09:30:00,256.86,261.938,5.078
2021-03-31T10:00:00,252.48,258.582,6.102
2021-03-31T10:30:00,253.98,257.092,3.112
2021-03-31T11:00:00,255.84,259.87,4.03
2021-03-31T11:30:00,254.62,258.074,3.454
2021-03-31T12:00:00,256.24,257.308,1.068
2021-03-31T12:30:00,253.36,257.422,4.062
2021-03-31T13:00:00,251.6,253.996,2.396
2021-03-31T13:30:00,250.6,252.77,2.17
2021-03-31T14:00:00,250.92,250.86,-0.06
2021-03-31T14:30:00,251.68,250.974,-0.706
2021-03-31T15:00:00,251.82,251.8,-0.02
2021-03-31T15:30:00,254.3,253.928,-0.3720000000000001
2021-03-31T16:00:00,257.06,256.756,-0.304
2021-03-31T16:30:00,256.3,256.31,0.01
2021-03-31T17:00:00,250.92,250.73,-0.19
2021-03-31T17:30:00,253.54,254.376,0.836
2021-03-31T18:00:00,254.28,254.376,0.096
2021-03-31T18:30:00,252.86,253.426,0.5660000000000001
2021-03-31T19:00:00,252.76,255.868,3.108
2021-03-31T19:30:00,251.44,251.812,0.3720000000000001
2021-03-31T20:00:00,242.6,244.388,1.788
2021-03-31T20:30:00,230.1,233.814,3.714
2021-03-31T21:00:00,214.88,220.638,5.757999999999999
2021-03-31T21:30:00,198.76,204.048,5.287999999999999
2021-03-31T22:00:00,163.56,181.49,17.93
2021-03-31T22:30:00,129.68,158.532,28.852
2021-03-31T23:00:00,116.92,142.314,25.394
2021-03-31T23:30:00,113.42,134.828,21.408
2021-04-01T00:00:00,112.5,124.056,11.556
2021-04-01T00:30:00,110.74,109.474,-1.266
2021-04-01T01:00:00,110.98,126.764,15.784
2021-04-01T01:30:00,111.42,125.99,14.57
2021-04-01T02:00:00,110.4,126.802,16.402
2021-04-01T02:30:00,109.98,125.548,15.568
2021-04-01T03:00:00,109.4,124.856,15.456
2021-04-01T03:30:00,108.84,123.734,14.894
2021-04-01T04:00:00,116.84,132.56,15.72
2021-04-01T04:30:00,132.08,143.32399999999996,11.244000000000002
2021-04-01T05:00:00,158.34,156.626,-1.714
2021-04-01T05:30:00,179.18,178.048,-1.132
2021-04-01T06:00:00,197.6,186.672,-10.928
2021-04-01T06:30:00,203.0,191.484,-11.515999999999998
2021-04-01T07:00:00,201.66,197.476,-4.184
2021-04-01T07:30:00,204.58,204.062,-0.518
2021-04-01T08:00:00,205.88,203.68,-2.2
2021-04-01T08:30:00,209.1,207.13,-1.97
2021-04-01T09:00:00,210.68,207.854,-2.826
